10008,M,40,Single,Low,Automatic,12 Months,Y,N,Late
10015,M,34,Single,Low,Automatic,36 Months,Y,Y,Very Early
10020,F,46,Single,Medium,Automatic,12 Months,Y,Y,Very Late
10023,M,62,Single,Low,Non-Automatic,No Contract,Y,Y,Late
10024,M,44,Single,PrePaid,Non-Automatic,No Contract,N,Y,Very Late
10037,F,43,Single,Medium,Automatic,36 Months,N,Y,Early
10040,M,32,Single,PrePaid,Non-Automatic,No Contract,Y,N,Early
10042,M,57,Married,PrePaid,Non-Automatic,No Contract,N,Y,Early
10044,F,18,Single,Low,Automatic,12 Months,N,N,Late
10046,M,32,Married,Heavy,Automatic,12 Months,Y,N,Very Early
10052,F,44,Single,Medium,Automatic,24 months,N,Y,Early
10072,M,55,Single,Heavy,Non-Automatic,No Contract,Y,N,Very Late
10087,M,20,Married,Medium,Automatic,24 months,Y,Y,Very Early
10107,F,28,Single,Heavy,Automatic,24 months,N,N,Very Early
10108,M,46,Married,Medium,Automatic,24 months,Y,N,Late
10110,M,48,Single,Medium,Non-Automatic,24 months,Y,Y,Very Early
10111,F,39,Married,Low,Automatic,12 Months,Y,N,Very Early
10125,F,62,Married,Medium,Non-Automatic,24 months,Y,Y,Late
10137,F,49,Married,Medium,Automatic,24 months,Y,N,Late
10138,M,48,Single,Medium,Automatic,12 Months,N,Y,Late
10139,F,56,Single,Heavy,Automatic,12 Months,N,Y,Very Early
10188,F,35,Single,Medium,Non-Automatic,No Contract,N,N,Very Early
10190,M,34,Single,Medium,Non-Automatic,36 Months,Y,Y,Very Late
10202,M,57,Single,Medium,Non-Automatic,24 months,N,Y,Very Late
10205,M,19,Single,Heavy,Automatic,12 Months,N,Y,Very Early
10233,M,61,Married,Medium,Automatic,12 Months,N,Y,Late
10237,M,30,Married,Heavy,Automatic,12 Months,Y,Y,Very Early
10250,F,23,Married,Low,Non-Automatic,24 months,N,Y,Very Early
10255,F,30,Married,PrePaid,Non-Automatic,No Contract,Y,N,Very Late
10260,M,19,Single,Low,Automatic,12 Months,N,Y,Very Early
10269,F,23,Married,PrePaid,Non-Automatic,No Contract,N,N,Very Early
10270,M,34,Married,Low,Non-Automatic,No Contract,N,N,Very Late
10274,F,26,Married,PrePaid,Non-Automatic,No Contract,N,Y,Very Early
10278,M,42,Single,PrePaid,Non-Automatic,No Contract,Y,Y,Very Late
10283,F,56,Single,Medium,Automatic,36 Months,Y,Y,Early
10293,F,45,Single,PrePaid,Non-Automatic,No Contract,N,Y,Late
10294,M,20,Single,Medium,Non-Automatic,36 Months,Y,Y,Very Early
10309,M,49,Single,Low,Automatic,24 months,Y,Y,Very Late
10319,M,30,Single,Low,Automatic,24 months,N,Y,Very Early
10348,F,34,Married,Medium,Automatic,24 months,Y,N,Very Early
10355,M,51,Married,Medium,Automatic,24 months,N,N,Late
10359,F,53,Married,Low,Automatic,12 Months,Y,Y,Late
10365,M,33,Single,Low,Automatic,No Contract,Y,N,Very Late
10368,F,18,Married,Heavy,Non-Automatic,36 Months,N,N,Very Early
10372,M,30,Single,Low,Non-Automatic,36 Months,N,N,Very Late
10394,F,50,Single,Medium,Automatic,No Contract,Y,N,Late
10412,M,63,Single,Medium,Automatic,36 Months,N,N,Early
10417,M,59,Married,PrePaid,Non-Automatic,No Contract,Y,Y,Early
10420,F,55,Single,Heavy,Non-Automatic,No Contract,N,N,Very Late
10422,F,63,Single,Medium,Non-Automatic,No Contract,N,Y,Very Late
10423,M,64,Single,Medium,Non-Automatic,12 Months,Y,N,Very Early
10427,M,64,Married,Low,Automatic,No Contract,Y,N,Very Late
10430,F,42,Single,Low,Non-Automatic,No Contract,N,Y,Late
10431,F,25,Married,Low,Automatic,12 Months,Y,N,Late
10453,M,64,Single,Medium,Automatic,No Contract,N,Y,Late
10457,M,61,Single,Heavy,Non-Automatic,36 Months,Y,N,Late
10472,M,57,Single,Low,Non-Automatic,24 months,Y,N,Very Late
10484,F,22,Single,Medium,Automatic,12 Months,Y,Y,Very Early
10487,F,32,Married,Low,Non-Automatic,No Contract,N,Y,Very Early
10494,F,43,Single,Heavy,Automatic,No Contract,Y,N,Very Early
10497,M,54,Married,Heavy,Automatic,No Contract,Y,Y,Early
10510,F,37,Married,Medium,Non-Automatic,No Contract,Y,N,Early
10518,M,30,Single,Heavy,Automatic,12 Months,N,N,Early
10524,M,57,Married,Low,Automatic,No Contract,Y,N,Very Late
10525,M,33,Married,PrePaid,Non-Automatic,No Contract,Y,Y,Very Late
10537,F,25,Married,Medium,Automatic,No Contract,N,N,Late
10550,M,47,Single,Medium,Non-Automatic,36 Months,Y,N,Late
10561,F,22,Married,Heavy,Automatic,No Contract,Y,N,Very Early
10568,F,50,Single,Medium,Automatic,36 Months,N,Y,Very Late
10600,F,51,Married,Low,Non-Automatic,24 months,N,Y,Late
10617,F,54,Single,Medium,Non-Automatic,No Contract,Y,N,Very Early
10620,F,45,Single,Heavy,Automatic,36 Months,Y,Y,Early
10627,M,38,Married,PrePaid,Non-Automatic,No Contract,N,Y,Late
10637,F,26,Single,Low,Automatic,12 Months,N,Y,Very Early
10647,M,64,Single,Heavy,Non-Automatic,24 months,Y,Y,Early
10660,M,56,Single,Medium,Automatic,No Contract,N,N,Very Early
10661,F,26,Single,Medium,Non-Automatic,12 Months,Y,N,Early
10667,M,23,Single,Medium,Non-Automatic,12 Months,Y,Y,Very Early
10669,M,61,Married,Heavy,Automatic,No Contract,N,N,Late
10687,F,24,Single,Low,Automatic,No Contract,Y,Y,Late
10704,M,41,Married,Low,Non-Automatic,24 months,Y,Y,Early
10706,F,25,Married,PrePaid,Non-Automatic,No Contract,N,Y,Very Early
10729,M,55,Married,Medium,Non-Automatic,36 Months,N,N,Late
10732,M,26,Single,Medium,Automatic,12 Months,N,Y,Very Early
10736,F,63,Single,Heavy,Non-Automatic,24 months,Y,N,Very Early
10737,F,18,Married,Medium,Automatic,12 Months,N,Y,Very Early
10743,M,36,Married,Low,Automatic,No Contract,N,Y,Early
10751,F,52,Married,Medium,Non-Automatic,24 months,Y,N,Late
10753,M,38,Married,PrePaid,Non-Automatic,No Contract,Y,N,Late
10762,M,27,Single,Medium,Non-Automatic,36 Months,N,N,Very Early
10764,F,35,Single,Low,Non-Automatic,12 Months,Y,Y,Very Early
10765,F,27,Single,PrePaid,Non-Automatic,No Contract,Y,N,Very Early
10786,M,35,Single,Heavy,Non-Automatic,12 Months,Y,N,Late
10791,M,41,Married,Heavy,Non-Automatic,No Contract,N,Y,Very Late
10792,F,26,Single,Medium,Automatic,36 Months,Y,N,Early
10801,F,51,Single,Medium,Automatic,24 months,Y,N,Late
10805,F,43,Married,Heavy,Non-Automatic,36 Months,Y,Y,Early
10809,M,64,Single,Medium,Non-Automatic,No Contract,Y,N,Very Early
10825,M,53,Single,Medium,Non-Automatic,36 Months,Y,Y,Very Late
10830,F,61,Married,Medium,Non-Automatic,12 Months,Y,Y,Very Early
10833,M,31,Married,Medium,Automatic,36 Months,Y,N,Very Early
10846,M,40,Married,Low,Automatic,24 months,Y,Y,Early
10850,M,59,Married,Heavy,Automatic,24 months,Y,Y,Late
10862,M,47,Married,Low,Automatic,24 months,Y,N,Late
10873,M,60,Single,PrePaid,Non-Automatic,No Contract,Y,N,Very Late
10885,F,52,Married,PrePaid,Non-Automatic,No Contract,N,Y,Very Early
10893,M,31,Married,Heavy,Non-Automatic,36 Months,Y,N,Early
10897,F,19,Married,PrePaid,Non-Automatic,No Contract,N,N,Late
10919,M,64,Married,PrePaid,Non-Automatic,No Contract,Y,N,Very Late
10925,F,37,Married,Low,Non-Automatic,36 Months,N,N,Late
10927,F,30,Married,Low,Non-Automatic,36 Months,Y,Y,Very Early
10928,M,44,Single,Heavy,Automatic,No Contract,N,N,Very Early
10930,F,25,Single,Medium,Non-Automatic,24 months,Y,N,Very Late
10934,F,47,Married,Medium,Non-Automatic,24 months,Y,N,Late
10946,M,21,Single,Heavy,Non-Automatic,36 Months,Y,Y,Very Early
10949,F,37,Married,Heavy,Non-Automatic,No Contract,N,N,Early
10951,F,48,Single,Medium,Automatic,12 Months,N,N,Late
10952,M,60,Single,Heavy,Non-Automatic,12 Months,Y,N,Very Late
10954,F,22,Married,Heavy,Automatic,12 Months,Y,N,Early
10979,M,41,Single,Heavy,Automatic,No Contract,Y,Y,Late
11006,M,53,Married,Low,Automatic,No Contract,Y,Y,Early
11008,M,52,Married,Heavy,Automatic,24 months,N,Y,Very Late
11024,F,34,Married,Heavy,Automatic,36 Months,Y,Y,Early
11029,M,35,Single,PrePaid,Non-Automatic,No Contract,N,N,Very Early
11030,F,43,Married,Heavy,Non-Automatic,36 Months,Y,Y,Early
11050,M,49,Married,Heavy,Automatic,No Contract,N,Y,Late
11072,F,24,Married,Heavy,Non-Automatic,36 Months,N,Y,Very Late
11075,F,25,Married,Heavy,Non-Automatic,12 Months,N,N,Very Early
11078,F,46,Married,Heavy,Non-Automatic,12 Months,N,Y,Very Early
11085,M,21,Single,Heavy,Non-Automatic,36 Months,N,N,Very Early
11090,M,23,Married,Heavy,Non-Automatic,36 Months,Y,N,Early
11109,F,33,Single,Heavy,Automatic,12 Months,N,Y,Very Early
11114,M,19,Married,Heavy,Non-Automatic,36 Months,N,N,Very Late
11127,M,50,Single,Heavy,Automatic,12 Months,N,N,Very Late
11139,F,26,Married,Medium,Automatic,No Contract,Y,Y,Late
11146,M,51,Married,Heavy,Non-Automatic,36 Months,N,N,Very Late
11159,M,57,Single,Medium,Automatic,12 Months,Y,Y,Early
11163,M,53,Single,Medium,Non-Automatic,24 months,N,Y,Very Early
11202,F,60,Single,Medium,Automatic,24 months,N,N,Very Early
11209,M,44,Married,Heavy,Non-Automatic,36 Months,N,Y,Early
11213,F,38,Married,Heavy,Automatic,24 months,Y,N,Very Late
11221,F,25,Married,Low,Automatic,36 Months,Y,Y,Very Late
11227,F,58,Single,Heavy,Automatic,36 Months,N,Y,Late
11228,M,25,Married,Low,Non-Automatic,36 Months,N,Y,Early
11238,M,52,Married,Medium,Non-Automatic,36 Months,Y,N,Late
11252,F,53,Single,PrePaid,Non-Automatic,No Contract,Y,Y,Early
11253,F,34,Married,PrePaid,Non-Automatic,No Contract,Y,N,Very Late
11264,M,60,Married,Medium,Automatic,24 months,Y,Y,Very Late
11269,M,41,Single,Medium,Automatic,24 months,N,N,Very Early
11270,F,24,Married,Heavy,Non-Automatic,No Contract,Y,N,Very Early
11271,M,50,Single,Heavy,Automatic,36 Months,N,Y,Early
11272,M,48,Single,Low,Non-Automatic,24 months,N,Y,Very Early
11289,M,64,Married,PrePaid,Non-Automatic,No Contract,N,N,Very Late
11291,M,62,Married,Low,Automatic,36 Months,N,N,Very Late
11309,M,54,Single,Low,Automatic,12 Months,N,N,Late
11323,F,62,Married,Heavy,Non-Automatic,No Contract,Y,N,Very Late
11341,M,44,Married,PrePaid,Non-Automatic,No Contract,N,Y,Early
11359,M,27,Single,Low,Automatic,24 months,Y,Y,Very Early
11370,F,40,Single,Medium,Non-Automatic,36 Months,Y,N,Early
11387,F,22,Single,PrePaid,Non-Automatic,No Contract,Y,N,Late
11390,M,53,Single,Heavy,Automatic,No Contract,Y,Y,Very Early
11408,F,58,Married,Medium,Non-Automatic,No Contract,Y,Y,Very Late
11423,M,22,Married,PrePaid,Non-Automatic,No Contract,Y,N,Late
11425,M,36,Single,Medium,Non-Automatic,24 months,Y,Y,Early
11426,F,52,Married,Heavy,Non-Automatic,No Contract,Y,N,Very Late
11449,M,53,Married,Medium,Non-Automatic,No Contract,N,Y,Very Early
11453,M,25,Single,Low,Non-Automatic,No Contract,Y,N,Late
11469,M,61,Single,Heavy,Automatic,36 Months,Y,Y,Late
11470,M,48,Married,Medium,Non-Automatic,12 Months,N,N,Late
11476,F,34,Single,Low,Automatic,36 Months,Y,N,Late
11477,F,38,Single,Medium,Automatic,24 months,N,N,Very Early
11479,F,53,Married,Heavy,Non-Automatic,12 Months,N,Y,Very Early
11504,M,27,Single,PrePaid,Non-Automatic,No Contract,N,N,Early
11519,F,60,Single,PrePaid,Non-Automatic,No Contract,Y,Y,Very Early
11526,F,31,Married,Low,Automatic,24 months,N,Y,Very Early
11527,F,28,Single,PrePaid,Non-Automatic,No Contract,Y,Y,Early
11528,F,43,Single,Medium,Automatic,No Contract,Y,N,Early
11530,F,27,Single,Low,Non-Automatic,36 Months,Y,N,Early
11540,F,25,Married,PrePaid,Non-Automatic,No Contract,Y,N,Very Early
11543,F,28,Married,Low,Non-Automatic,36 Months,Y,Y,Early
11550,M,46,Single,Heavy,Automatic,No Contract,Y,N,Very Early
11556,M,23,Single,Low,Automatic,12 Months,Y,Y,Very Early
11557,F,24,Single,Low,Automatic,No Contract,Y,Y,Very Early
11558,M,24,Single,PrePaid,Non-Automatic,No Contract,Y,N,Early
11579,F,59,Single,Medium,Non-Automatic,36 Months,N,Y,Very Early
11593,F,36,Single,PrePaid,Non-Automatic,No Contract,Y,N,Very Early
